函数名,独占样本数,独占样本数百分比,非独占样本数,非独占样本数百分比,源行开始,源字符开始,源行结束,源字符结束,
"std::allocator<std::_Container_proxy>::destroy<std::_Container_proxy>",11,0.15,11,0.15,605,0,605,0,
"std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>::allocator<std::_Tgt_state_t<char const *>::_Grp_t>",11,0.15,11,0.15,556,0,556,0,
"std::less<AutoCompleteManager::Entry>::operator()",11,0.15,13,0.18,194,0,194,0,
"std::pair<std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >,bool>::pair<std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > >,bool><std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> > > &,bool,void>",11,0.15,87,1.18,144,0,144,0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Add_range",10,0.14,10,0.14,"3,739",0,"3,739",0,
"std::_Parser<char const *,char,std::regex_traits<char> >::_ClassAtom",10,0.14,10,0.14,"5,046",0,"5,046",0,
"std::_Tree_alloc<0,std::_Tree_base_types<AutoCompleteManager::Entry,std::allocator<AutoCompleteManager::Entry> > >::_Getal",10,0.14,10,0.14,868,0,868,0,
"std::_Vector_alloc<0,std::_Vec_base_types<unsigned int,std::allocator<bool> > >::_Vector_alloc<0,std::_Vec_base_types<unsigned int,std::allocator<bool> > >",10,0.14,19,0.26,601,0,601,0,
"std::_Wrap_alloc<std::allocator<std::_Container_proxy> >::destroy<std::_Container_proxy>",10,0.14,10,0.14,877,0,877,0,
"std::allocator<bool>::allocator<bool><unsigned int>",10,0.14,10,0.14,561,0,561,0,
"std::allocator<std::_Tree_node<wxString,void *> >::allocator<std::_Tree_node<wxString,void *> >",10,0.14,10,0.14,552,0,552,0,
"std::allocator<unsigned int>::allocator<unsigned int>",10,0.14,10,0.14,556,0,556,0,
"std::set<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry> >::insert",10,0.14,10,0.14,146,0,146,0,
"std::_Container_proxy::_Container_proxy",9,0.12,9,0.12,68,0,68,0,
"std::_Iterator012<std::random_access_iterator_tag,std::_Tgt_state_t<char const *>::_Grp_t,int,std::_Tgt_state_t<char const *>::_Grp_t const *,std::_Tgt_state_t<char const *>::_Grp_t const &,std::_Iterator_base12>::_Iterator012<std::random_access_iterator_tag,std::_Tgt_state_t<char const *>::_Grp_t,int,std::_Tgt_state_t<char const *>::_Grp_t const *,std::_Tgt_state_t<char const *>::_Grp_t const &,std::_Iterator_base12>",9,0.12,59,0.80,0,0,0,0,
"std::_Node_base::~_Node_base",9,0.12,9,0.12,"1,640",0,"1,640",0,
"std::_Node_class<char,std::regex_traits<char> >::`scalar deleting destructor'",9,0.12,72,0.97,0,0,0,0,
"std::_Ptr_cat<std::_Tgt_state_t<char const *>::_Grp_t,std::_Tgt_state_t<char const *>::_Grp_t>",9,0.12,9,0.12,444,0,444,0,
"std::_String_const_iterator<std::_String_val<std::_Simple_types<char> > >::~_String_const_iterator<std::_String_val<std::_Simple_types<char> > >",9,0.12,43,0.58,0,0,0,0,
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >,std::_Iterator_base12>::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >,std::_Iterator_base12>",9,0.12,61,0.83,0,0,0,0,
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >,std::_Iterator_base12>::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >,std::_Iterator_base12>",9,0.12,22,0.30,44,0,44,0,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Root",9,0.12,9,0.12,"2,152",0,"2,152",0,
"std::vector<unsigned int,std::allocator<bool> >::_Buy",9,0.12,9,0.12,"1,546",0,"1,546",0,
"std::vector<unsigned int,std::allocator<bool> >::get_allocator",9,0.12,9,0.12,"1,162",0,"1,162",0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Link_node",8,0.11,8,0.11,"3,592",0,"3,592",0,
"std::_Iterator_base12::_Adopt",8,0.11,22,0.30,174,0,174,0,
"std::_Iterator_base12::_Iterator_base12",8,0.11,8,0.11,121,0,121,0,
"std::_Rechecked<std::_Tgt_state_t<char const *>::_Grp_t *,std::_Tgt_state_t<char const *>::_Grp_t *>",8,0.11,8,0.11,288,0,288,0,
"std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0>::_Kfn",8,0.11,8,0.11,35,0,35,0,
"std::_Wrap_alloc<std::allocator<unsigned int> >::max_size",8,0.11,8,0.11,883,0,883,0,
"std::vector<bool,std::allocator<bool> >::size",8,0.11,8,0.11,"2,669",0,"2,669",0,
"std::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::~vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >",8,0.11,8,0.11,944,0,944,0,
"wxStreamBase::GetLastError",8,0.11,8,0.11,62,0,62,0,
"wxStringBase::wxStringBase",8,0.11,14,0.19,347,0,347,0,
"wxStrlen",8,0.11,9,0.12,857,0,857,0,
"?Alloc@wxStringBase@@IAE_NI@Z",7,0.09,13,0.18,0,0,0,0,
"?CopyBeforeWrite@wxStringBase@@IAE_NXZ",7,0.09,169,2.29,0,0,0,0,
"_RTC_CheckEsp",7,0.09,7,0.09,25,0,25,0,
"AutoCompleteManager::Entry::Entry",7,0.09,168,2.27,34,0,34,0,
"AutoCompleteManager::Entry::operator<",7,0.09,11,0.15,42,0,42,0,
"IsSymbol",7,0.09,7,0.09,31,0,31,0,
"std::_Bt_state_t<char const *>::~_Bt_state_t<char const *>",7,0.09,284,3.84,0,0,0,0,
"std::_Buf<char>::_Expand",7,0.09,18,0.24,"1,577",0,"1,577",0,
"std::_Buf<char>::~_Buf<char>",7,0.09,12,0.16,"1,529",0,"1,529",0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Add_range",7,0.09,7,0.09,"3,730",0,"3,730",0,
"std::_Builder<char const *,char,std::regex_traits<char> >::_Add_range",7,0.09,16,0.22,"3,742",0,"3,742",0,
"std::_Iterator012<std::bidirectional_iterator_tag,wxString,int,wxString const *,wxString const &,std::_Iterator_base12>::~_Iterator012<std::bidirectional_iterator_tag,wxString,int,wxString const *,wxString const &,std::_Iterator_base12>",7,0.09,30,0.41,0,0,0,0,
"std::_Iterator012<std::random_access_iterator_tag,char,int,char const *,char const &,std::_Iterator_base12>::~_Iterator012<std::random_access_iterator_tag,char,int,char const *,char const &,std::_Iterator_base12>",7,0.09,34,0.46,0,0,0,0,
"std::_Node_base::_Node_base",7,0.09,7,0.09,"1,631",0,"1,631",0,
"std::_Node_class<char,std::regex_traits<char> >::~_Node_class<char,std::regex_traits<char> >",7,0.09,15,0.20,"1,759",0,"1,759",0,
"std::_Tgt_state_t<char const *>::_Tgt_state_t<char const *>",7,0.09,175,2.37,0,0,0,0,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::insert",7,0.09,7,0.09,"1,142",0,"1,142",0,
"std::_Vector_alloc<0,std::_Vec_base_types<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >::_Free_proxy",7,0.09,7,0.09,630,0,630,0,
