函数名,非独占样本数,独占样本数,非独占样本数百分比,独占样本数百分比,
"std::_Parser<char const *,char,std::regex_traits<char> >::~_Parser<char const *,char,std::regex_traits<char> >",64,1,0.87,0.01,
"std::_Rechecked<std::_Loop_vals_t *,std::_Loop_vals_t *>",1,1,0.01,0.01,
"std::_Regex_traits<char>::~_Regex_traits<char>",5,1,0.07,0.01,
"std::_Root_node::`scalar deleting destructor'",16,1,0.22,0.01,
"std::_Root_node::~_Root_node",3,1,0.04,0.01,
"std::_String_const_iterator<std::_String_val<std::_Simple_types<char> > >::_Compat",9,1,0.12,0.01,
"std::_String_iterator<std::_String_val<std::_Simple_types<char> > >::_String_iterator<std::_String_val<std::_Simple_types<char> > >",26,1,0.35,0.01,
"std::_String_val<std::_Simple_types<char> >::~_String_val<std::_Simple_types<char> >",1,1,0.01,0.01,
"std::_Tree_alloc<0,std::_Tree_base_types<wxString,std::allocator<wxString> > >::_Free_proxy",11,1,0.15,0.01,
"std::_Tree_alloc<0,std::_Tree_base_types<wxString,std::allocator<wxString> > >::~_Tree_alloc<0,std::_Tree_base_types<wxString,std::allocator<wxString> > >",21,1,0.28,0.01,
"std::_Tree_buy<wxString,std::allocator<wxString> >::_Buynode<wxString const &>",30,1,0.41,0.01,
"std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<wxString> > >::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<wxString> > >",8,1,0.11,0.01,
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<wxString> >,std::_Iterator_base12>::~_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<wxString> >,std::_Iterator_base12>",31,1,0.42,0.01,
"std::_Tree_val<std::_Tree_simple_types<wxString> >::_Myval",1,1,0.01,0.01,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Buynode_if_nil<AutoCompleteManager::Entry>",73,1,0.99,0.01,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Lmost",7,1,0.09,0.01,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Lrotate",4,1,0.05,0.01,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::begin",32,1,0.43,0.01,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::_Insert_at<wxString const &,std::_Nil>",37,1,0.50,0.01,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::_Tidy",66,1,0.89,0.01,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >",52,1,0.70,0.01,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::~_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >",88,1,1.19,0.01,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::begin",20,1,0.27,0.01,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::find",25,1,0.34,0.01,
"std::_Tree<std::_Tset_traits<wxString,std::less<wxString>,std::allocator<wxString>,0> >::key_comp",1,1,0.01,0.01,
"std::_Uninit_copy<unsigned int *,unsigned int *,std::_Wrap_alloc<std::allocator<unsigned int> > >",3,1,0.04,0.01,
"std::_Uninit_def_fill_n<std::_Loop_vals_t *,unsigned int,std::allocator<std::_Loop_vals_t>,std::_Loop_vals_t>",8,1,0.11,0.01,
"std::_Uninit_def_fill_n<std::_Tgt_state_t<char const *>::_Grp_t *,unsigned int,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>,std::_Tgt_state_t<char const *>::_Grp_t>",7,1,0.09,0.01,
"std::_Uninit_fill_n<unsigned int,unsigned int,unsigned int,unsigned int>",3,1,0.04,0.01,
"std::_Uninit_move<std::_Loop_vals_t *,std::_Loop_vals_t *,std::allocator<std::_Loop_vals_t>,std::_Loop_vals_t>",8,1,0.11,0.01,
"std::_Uninit_move<std::_Tgt_state_t<char const *>::_Grp_t *,std::_Tgt_state_t<char const *>::_Grp_t *,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>,std::_Tgt_state_t<char const *>::_Grp_t>",8,1,0.11,0.01,
"std::_Uninitialized_copy<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >,unsigned int *,std::_Wrap_alloc<std::allocator<unsigned int> > >",149,1,2.02,0.01,
"std::_Uninitialized_default_fill_n<std::_Loop_vals_t *,unsigned int,std::_Wrap_alloc<std::allocator<std::_Loop_vals_t> > >",13,1,0.18,0.01,
"std::_Uninitialized_move<std::_Tgt_state_t<char const *>::_Grp_t *,std::_Tgt_state_t<char const *>::_Grp_t *,std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >",13,1,0.18,0.01,
"std::_Val_type<std::_Tgt_state_t<char const *>::_Grp_t *>",1,1,0.01,0.01,
"std::_Val_type<unsigned int *>",1,1,0.01,0.01,
"std::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::operator-",7,1,0.09,0.01,
"std::_Vb_const_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::operator<",6,1,0.08,0.01,
"std::_Vb_iter_base<std::_Wrap_alloc<std::allocator<unsigned int> > >::_Valid",4,1,0.05,0.01,
"std::_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::operator*",20,1,0.27,0.01,
"std::_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >::operator++",6,1,0.08,0.01,
"std::_Vector_alloc<0,std::_Vec_base_types<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> > >::_Alloc_proxy",16,1,0.22,0.01,
"std::_Vector_alloc<0,std::_Vec_base_types<Symbol *,std::allocator<Symbol *> > >::_Getal",4,1,0.05,0.01,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::_Compat",3,1,0.04,0.01,
"std::_Wrap_alloc<std::allocator<char> >::max_size",6,1,0.08,0.01,
"std::_Wrap_alloc<std::allocator<std::_Loop_vals_t> >::deallocate",8,1,0.11,0.01,
"std::_Wrap_alloc<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::max_size",10,1,0.14,0.01,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> > >::deallocate",11,1,0.15,0.01,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> > >::destroy<AutoCompleteManager::Entry>",25,1,0.34,0.01,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<wxString,void *> > >::_Wrap_alloc<std::allocator<std::_Tree_node<wxString,void *> > >",1,1,0.01,0.01,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<wxString,void *> > >::construct<std::_Tree_node<wxString,void *> *,std::_Tree_node<wxString,void *> * &>",14,1,0.19,0.01,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<wxString,void *> > >::construct<wxString,wxString const &>",8,1,0.11,0.01,
"std::_Wrap_alloc<std::allocator<std::_Tree_node<wxString,void *> > >::destroy<wxString>",7,1,0.09,0.01,
"std::_Wrap_alloc<std::allocator<Symbol *> >::_Wrap_alloc<std::allocator<Symbol *> >",3,1,0.04,0.01,
"std::addressof<AutoCompleteManager::Entry>",1,1,0.01,0.01,
"std::addressof<char>",1,1,0.01,0.01,
"std::allocator_traits<std::allocator<char> >::destroy<char *>",2,1,0.03,0.01,
"std::allocator_traits<std::allocator<std::_Loop_vals_t> >::destroy<std::_Loop_vals_t>",2,1,0.03,0.01,
"std::allocator_traits<std::allocator<std::_Loop_vals_t> >::max_size",4,1,0.05,0.01,
"std::allocator_traits<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::construct<std::_Tgt_state_t<char const *>::_Grp_t>",6,1,0.08,0.01,
"std::allocator_traits<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::select_on_container_copy_construction",7,1,0.09,0.01,
"std::allocator_traits<std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> > >::construct<AutoCompleteManager::Entry,AutoCompleteManager::Entry>",26,1,0.35,0.01,
"std::allocator_traits<std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> > >::destroy<AutoCompleteManager::Entry>",24,1,0.32,0.01,
"std::allocator_traits<std::allocator<std::_Tree_node<wxString,void *> > >::destroy<std::_Tree_node<wxString,void *> *>",1,1,0.01,0.01,
"std::allocator_traits<std::allocator<std::_Tree_node<wxString,void *> > >::destroy<wxString>",6,1,0.08,0.01,
"std::allocator<char>::construct<char *,char * &>",4,1,0.05,0.01,
"std::allocator<char>::destroy<char *>",1,1,0.01,0.01,
"std::allocator<std::_Loop_vals_t>::destroy<std::_Loop_vals_t>",1,1,0.01,0.01,
"std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>::construct",5,1,0.07,0.01,
"std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>::construct",4,1,0.05,0.01,
"std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> >::construct<std::_Tree_node<AutoCompleteManager::Entry,void *> *,std::_Tree_node<AutoCompleteManager::Entry,void *> * &>",4,1,0.05,0.01,
"std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> >::deallocate",10,1,0.14,0.01,
"std::allocator<std::_Tree_node<AutoCompleteManager::Entry,void *> >::max_size",1,1,0.01,0.01,
"std::allocator<Symbol *>::construct",1,1,0.01,0.01,
"std::allocator<unsigned int>::select_on_container_copy_construction",2,1,0.03,0.01,
"std::allocator<wxString>::allocator<wxString><std::_Tree_node<wxString,void *> >",1,1,0.01,0.01,
"std::basic_regex<char,std::regex_traits<char> >::_Reset",2,1,0.03,0.01,
"std::basic_regex<char,std::regex_traits<char> >::_Reset<char const *>",717,1,9.70,0.01,
"std::basic_regex<char,std::regex_traits<char> >::~basic_regex<char,std::regex_traits<char> >",224,1,3.03,0.01,
"std::basic_regex<char,std::regex_traits<char> >::mark_count",1,1,0.01,0.01,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::~basic_string<char,std::char_traits<char>,std::allocator<char> >",45,1,0.61,0.01,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::basic_string<char,std::char_traits<char>,std::allocator<char> >",22,1,0.30,0.01,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::operator[]",1,1,0.01,0.01,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::replace",156,1,2.11,0.01,
"std::char_traits<char>::length",4,1,0.05,0.01,
"std::char_traits<char>::move",1,1,0.01,0.01,
"std::fill<std::_Vb_iterator<std::_Wrap_alloc<std::allocator<unsigned int> > >,bool>",206,1,2.79,0.01,
"std::forward<Symbol * const &>",1,1,0.01,0.01,
"std::operator|=",1,1,0.01,0.01,
"std::operator==<std::allocator<std::_Tgt_state_t<char const *>::_Grp_t>,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >",14,1,0.19,0.01,
"std::pair<std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<wxString> > >,bool>::~pair<std::_Tree_const_iterator<std::_Tree_val<std::_Tree_simple_types<wxString> > >,bool>",6,1,0.08,0.01,
"std::regex_traits<char>::~regex_traits<char>",6,1,0.08,0.01,
"std::regex_traits<char>::regex_traits<char>",10,1,0.14,0.01,
"std::vector<bool,std::allocator<bool> >::empty",3,1,0.04,0.01,
"std::vector<bool,std::allocator<bool> >::end",57,1,0.77,0.01,
"std::vector<bool,std::allocator<bool> >::vector<bool,std::allocator<bool> >",476,1,6.44,0.01,
"std::vector<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> >::_Destroy",15,1,0.20,0.01,
"std::vector<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> >::_Grow_to",7,1,0.09,0.01,
"std::vector<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> >::_Unused_capacity",1,1,0.01,0.01,
"std::vector<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> >::operator[]",2,1,0.03,0.01,
"std::vector<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> >::vector<std::_Loop_vals_t,std::allocator<std::_Loop_vals_t> >",20,1,0.27,0.01,
"std::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::_Ucopy<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<std::_Tgt_state_t<char const *>::_Grp_t> > > >",234,1,3.17,0.01,
"std::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::resize",81,1,1.10,0.01,
"std::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >::vector<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> >",57,1,0.77,0.01,
"std::vector<Symbol *,std::allocator<Symbol *> >::_Inside",1,1,0.01,0.01,
"std::vector<Symbol *,std::allocator<Symbol *> >::push_back",11,1,0.15,0.01,
"std::vector<unsigned int,std::allocator<bool> >::_Grow_to",12,1,0.16,0.01,
"std::vector<unsigned int,std::allocator<bool> >::_Reallocate",50,1,0.68,0.01,
"std::vector<unsigned int,std::allocator<bool> >::_Ucopy<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",226,1,3.06,0.01,
"std::vector<unsigned int,std::allocator<bool> >::vector<unsigned int,std::allocator<bool> >",419,1,5.67,0.01,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Buy",1,1,0.01,0.01,
"wxBrushBase::~wxBrushBase",1,1,0.01,0.01,
"wxEvent::GetEventObject",1,1,0.01,0.01,
"wxEvent::GetEventType",1,1,0.01,0.01,
"wxListEvent::~wxListEvent",1,1,0.01,0.01,
"wxPoint::wxPoint",1,1,0.01,0.01,
"wxStreamBase::IsOk",1,1,0.01,0.01,
"wxString::append",29,1,0.39,0.01,
"wxString::operator+=",4,1,0.05,0.01,
"wxString::operator+=",4,1,0.05,0.01,
"wxString::operator=",1,1,0.01,0.01,
"wxStringBase::ConcatSelf",1,1,0.01,0.01,
"wxStringBase::operator+=",3,1,0.04,0.01,
"wxStringBase::operator+=",3,1,0.04,0.01,
"wxStringBase::reserve",4,1,0.05,0.01,
"wxWindowBase::HasFlag",1,1,0.01,0.01,
"??_EwxBoxSizer@@UAEPAXI@Z",1,0,0.01,0.00,
"??_EwxSizerItem@@UAEPAXI@Z",1,0,0.01,0.00,
"??0wxAuiDefaultDockArt@@QAE@XZ",19,0,0.26,0.00,
"??0wxAuiManager@@QAE@PAVwxWindow@@I@Z",19,0,0.26,0.00,
"??0wxClientDC@@QAE@PAVwxWindow@@@Z",1,0,0.01,0.00,
"??0wxColourChanger@@QAE@AAVwxDC@@@Z",1,0,0.01,0.00,
"??0wxDC@@QAE@PAX@Z",1,0,0.01,0.00,
"??0wxDCTemp@@QAE@PAXABVwxSize@@@Z",1,0,0.01,0.00,
"??0wxImage@@QAE@PBQBD@Z",2,0,0.03,0.00,
"??0wxInitializer@@QAE@HPAPAD@Z",1,0,0.01,0.00,
"??0wxPrintPaperDatabase@@QAE@XZ",1,0,0.01,0.00,
"??0wxStringToPrintPaperTypeHashMap@@QAE@IVwxStringHash@@VwxStringEqual@@@Z",1,0,0.01,0.00,
"??0wxStringToPrintPaperTypeHashMap_wxImplementation_HashTable@@QAE@IABVwxStringHash@@ABVwxStringEqual@@ABVwxStringToPrintPaperTypeHashMap_wxImplementation_KeyEx@@@Z",1,0,0.01,0.00,
"??0wxTreeEvent@@QAE@HPAVwxTreeCtrlBase@@ABVwxTreeItemId@@@Z",1,0,0.01,0.00,
"??1wxAppPtrBase@@QAE@XZ",1,0,0.01,0.00,
"??1wxArrayString@@QAE@XZ",1,0,0.01,0.00,
"??1wxBoxSizer@@UAE@XZ",1,0,0.01,0.00,
"??1wxBrush@@UAE@XZ",1,0,0.01,0.00,
"??1wxPen@@UAE@XZ",2,0,0.03,0.00,
"??1wxSizer@@UAE@XZ",1,0,0.01,0.00,
"??1wxSizerItem@@UAE@XZ",1,0,0.01,0.00,
"??1wxWindow@@UAE@XZ",1,0,0.01,0.00,
"??4wxStringBase@@QAEAAV0@D@Z",15,0,0.20,0.00,
"?AddPendingEvent@wxEvtHandler@@QAEXAAVwxEvent@@@Z",1,0,0.01,0.00,
"?AfterLast@wxString@@QBE?AV1@D@Z",1,0,0.01,0.00,
"?Alloc@wxFontRefData@@QAE_NPAVwxFont@@@Z",19,0,0.26,0.00,
"?AllocBeforeWrite@wxStringBase@@IAE_NI@Z",13,0,0.18,0.00,
"?append@wxString@@QAEAAV1@PBDI@Z",3,0,0.04,0.00,
"?Assign@wxFileName@@QAEXABVwxString@@000_NW4wxPathFormat@@@Z",4,0,0.05,0.00,
"?Assign@wxFileName@@QAEXABVwxString@@W4wxPathFormat@@@Z",4,0,0.05,0.00,
"?assign@wxString@@QAEAAV1@ABV1@II@Z",1,0,0.01,0.00,
"?assign@wxStringBase@@QAEAAV1@ABV1@II@Z",1,0,0.01,0.00,
"?CanUpdate@wxUpdateUIEvent@@SA_NPAVwxWindowBase@@@Z",2,0,0.03,0.00,
"?Clear@wxListBase@@QAEXXZ",1,0,0.01,0.00,
"?clear@wxSizerItemList@@QAEXXZ",1,0,0.01,0.00,
"?Create@wxImage@@QAE_NPBQBD@Z",2,0,0.03,0.00,
"?Delete@wxTreeCtrl@@UAEXABVwxTreeItemId@@@Z",2,0,0.03,0.00,
"?DeleteAllItems@wxListCtrl@@QAE_NXZ",1,0,0.01,0.00,
"?DeletePendingObjects@wxAppBase@@IAEXXZ",2,0,0.03,0.00,
"?Dispatch@wxEventLoop@@UAE_NXZ","2,811",0,38.03,0.00,
"?DoCreate@wxFont@@IAE_NHABVwxSize@@_NHHH1ABVwxString@@W4wxFontEncoding@@@Z",19,0,0.26,0.00,
"?DoDeleteNode@wxListBase@@AAEXPAVwxNodeBase@@@Z",1,0,0.01,0.00,
"?DoDrawBitmap@wxDC@@MAEXABVwxBitmap@@HH_N@Z",3,0,0.04,0.00,
"?DoDrawRectangle@wxDC@@MAEXHHHH@Z",1,0,0.01,0.00,
"?DoEnumerate@wxFontEnumeratorHelper@@QAEXXZ",19,0,0.26,0.00,
"?DoFrameLayout@wxAuiManager@@IAEXXZ",3,0,0.04,0.00,
"?DoGetItem@wxTreeCtrl@@ABE_NPAUwxTreeViewItem@@@Z",2,0,0.03,0.00,
"?DoInitializeModule@wxModule@@CA_NPAV1@AAVwxModuleList@@@Z",1,0,0.01,0.00,
"?DoInsertAfter@wxTreeCtrl@@MAE?AVwxTreeItemId@@ABV2@0ABVwxString@@HHPAVwxTreeItemData@@@Z",3,0,0.04,0.00,
"?DoInsertItem@wxTreeCtrl@@MAE?AVwxTreeItemId@@ABV2@IABVwxString@@HHPAVwxTreeItemData@@@Z",3,0,0.04,0.00,
"?DoMoveSibling@wxWindow@@IAE_NPAXHHHH@Z",5,0,0.07,0.00,
"?DoMoveWindow@wxWindow@@MAEXHHHH@Z",2,0,0.03,0.00,
"?DoMSWControlColor@wxControl@@MAEPAXPAXVwxColour@@0@Z",1,0,0.01,0.00,
"?DoScreenToClient@wxTopLevelWindowBase@@MBEXPAH0@Z",1,0,0.01,0.00,
"?DoSetSize@wxWindow@@MAEXHHHHH@Z",2,0,0.03,0.00,
"?DoThreadStart@wxThreadInternal@@SAIPAVwxThread@@@Z","4,491",0,60.76,0.00,
"?DrawCaption@wxAuiDefaultDockArt@@UAEXAAVwxDC@@PAVwxWindow@@ABVwxString@@ABVwxRect@@AAVwxAuiPaneInfo@@@Z",2,0,0.03,0.00,
"?DrawCaptionBackground@wxAuiDefaultDockArt@@IAEXAAVwxDC@@ABVwxRect@@_N@Z",2,0,0.03,0.00,
"?DrawPaneButton@wxAuiDefaultDockArt@@UAEXAAVwxDC@@PAVwxWindow@@HHABVwxRect@@AAVwxAuiPaneInfo@@@Z",3,0,0.04,0.00,
"?DrawSash@wxAuiDefaultDockArt@@UAEXAAVwxDC@@PAVwxWindow@@HABVwxRect@@@Z",1,0,0.01,0.00,
"?EnumerateFacenames@wxFontEnumerator@@UAE_NW4wxFontEncoding@@_N@Z",19,0,0.26,0.00,
"?erase@wxStringBase@@QAEPADPAD0@Z",32,0,0.43,0.00,
"?ExpandEnvVars@wxConfigBase@@QBE?AVwxString@@ABV2@@Z",1,0,0.01,0.00,
"?Format@wxString@@SA?AV1@PBDZZ",3,0,0.04,0.00,
"?Free@wxArrayString@@AAEXXZ",1,0,0.01,0.00,
"?Get@wxWinHashTable@@QBEPAVwxWindow@@J@Z",3,0,0.04,0.00,
"?GetAppName@wxAppConsole@@QBE?AVwxString@@XZ",1,0,0.01,0.00,
"?GetClientAreaOrigin@wxFrame@@UBE?AVwxPoint@@XZ",1,0,0.01,0.00,
"?GetClientAreaOrigin@wxWindowBase@@UBE?AVwxPoint@@XZ",1,0,0.01,0.00,
"?GetFacenames@wxFontEnumerator@@SA?AVwxArrayString@@W4wxFontEncoding@@_N@Z",19,0,0.26,0.00,
"?GetMessage@@YAHPAUtagMSG@@PAUHWND__@@II@Z","2,798",0,37.86,0.00,
"?GetNextChild@wxTreeCtrl@@UBE?AVwxTreeItemId@@ABV2@AAPAX@Z",1,0,0.01,0.00,
"?GetOption@wxSystemOptions@@SA?AVwxString@@ABV2@@Z",3,0,0.04,0.00,
"?GetOptionInt@wxSystemOptions@@SAHABVwxString@@@Z",3,0,0.04,0.00,
"?GetPathSeparators@wxFileName@@SA?AVwxString@@W4wxPathFormat@@@Z",1,0,0.01,0.00,
"?GetWriteBuf@wxString@@QAEPADI@Z",1,0,0.01,0.00,
"?HandleCommand@wxFrame@@QAE_NGGPAX@Z",8,0,0.11,0.00,
"?HandleCtlColor@wxWindow@@QAE_NPAPAXPAX1@Z",2,0,0.03,0.00,
"?HandleEraseBkgnd@wxWindow@@QAE_NPAX@Z",3,0,0.04,0.00,
"?HandleEvent@wxAppConsole@@UBEXPAVwxEvtHandler@@P82@AEXAAVwxEvent@@@Z1@Z","2,800",0,37.88,0.00,
"?HandleMouseEvent@wxWindow@@QAE_NIHHI@Z",1,0,0.01,0.00,
"?HandleMouseMove@wxWindow@@QAE_NHHI@Z",1,0,0.01,0.00,
"?HandleNotify@wxWindow@@AAE_NHJPAJ@Z",8,0,0.11,0.00,
"?HandlePaint@wxFrame@@QAE_NXZ",1,0,0.01,0.00,
"?HandlePaint@wxWindow@@QAE_NXZ",1,0,0.01,0.00,
"?HandleSetCursor@wxWindow@@QAE_NPAXFH@Z",4,0,0.05,0.00,
"?HandleSize@wxWindow@@QAE_NHHI@Z",3,0,0.04,0.00,
"?Index@wxArrayString@@QBEHPBD_N1@Z",19,0,0.26,0.00,
"?Init@wxModule@@QAE_NXZ",1,0,0.01,0.00,
"?InitDC@wxClientDC@@IAEXXZ",1,0,0.01,0.00,
"?InitDC@wxWindowDC@@IAEXXZ",1,0,0.01,0.00,
"?InitFromFont@wxNativeFontInfo@@QAEXABVwxFont@@@Z",19,0,0.26,0.00,
"?InitializeModules@wxModule@@SA_NXZ",1,0,0.01,0.00,
"?IsExpanded@wxTreeCtrl@@UBE_NABVwxTreeItemId@@@Z",2,0,0.03,0.00,
"?IsPathSeparator@wxFileName@@SA_NDW4wxPathFormat@@@Z",1,0,0.01,0.00,
"?IsValidFacename@wxFontEnumerator@@SA_NABVwxString@@@Z",19,0,0.26,0.00,
"?Layout@wxSizer@@UAEXXZ",3,0,0.04,0.00,
"?Load@wxFileHistory@@UAEXAAVwxConfigBase@@@Z",1,0,0.01,0.00,
"?LoadPerspective@wxAuiManager@@QAE_NABVwxString@@_N@Z",6,0,0.08,0.00,
"?MainLoop@wxAppBase@@UAEHXZ","2,823",0,38.20,0.00,
"?MsgHookProc@wxIdleWakeUpModule@@SGJHIJ@Z","2,788",0,37.72,0.00,
"?MSWControlColor@wxControl@@UAEPAXPAX0@Z",2,0,0.03,0.00,
"?MSWControlColor@wxTextCtrl@@UAEPAXPAX0@Z",1,0,0.01,0.00,
"?MSWDefWindowProc@wxTreeCtrl@@UAEJIIJ@Z",16,0,0.22,0.00,
"?MSWDefWindowProc@wxWindow@@UAEJIIJ@Z",31,0,0.42,0.00,
"?MSWDoTranslateMessage@wxFrame@@IAE_NPAV1@PAUtagMSG@@@Z",7,0,0.09,0.00,
"?MSWOnNotify@wxListCtrl@@UAE_NHJPAJ@Z",2,0,0.03,0.00,
"?MSWOnNotify@wxTreeCtrl@@UAE_NHJPAJ@Z",6,0,0.08,0.00,
"?MSWProcessMessage@wxWindow@@UAE_NPAUtagMSG@@@Z",1,0,0.01,0.00,
"?MSWTranslateMessage@wxWindow@@UAE_NPAUtagMSG@@@Z",8,0,0.11,0.00,
"?MSWWindowProc@wxButton@@UAEJIIJ@Z",1,0,0.01,0.00,
"?MSWWindowProc@wxFrame@@UAEJIIJ@Z",14,0,0.19,0.00,
"?MSWWindowProc@wxListCtrl@@UAEJIIJ@Z",6,0,0.08,0.00,
"?MSWWindowProc@wxTextCtrl@@UAEJIIJ@Z",2,0,0.03,0.00,
"?MSWWindowProc@wxTopLevelWindowMSW@@UAEJIIJ@Z",5,0,0.07,0.00,
"?MSWWindowProc@wxTreeCtrl@@UAEJIIJ@Z",20,0,0.27,0.00,
"?OnFont@wxFontEnumeratorHelper@@QBE_NQAUtagLOGFONTA@@QAUtagTEXTMETRICA@@@Z",19,0,0.26,0.00,
"?OnInit@wxPrintPaperModule@@UAE_NXZ",1,0,0.01,0.00,
"?OnInternalIdle@wxFrameBase@@UAEXXZ",1,0,0.01,0.00,
"?OnInternalIdle@wxWindow@@UAEXXZ",3,0,0.04,0.00,
"?OnPaint@wxAuiManager@@IAEXAAVwxPaintEvent@@@Z",1,0,0.01,0.00,
"?OnRender@wxAuiManager@@QAEXAAVwxAuiManagerEvent@@@Z",6,0,0.08,0.00,
"?OnRun@wxAppBase@@UAEHXZ","2,823",0,38.20,0.00,
"?OnSetCursor@wxAuiManager@@IAEXAAVwxSetCursorEvent@@@Z",2,0,0.03,0.00,
"?OnSize@wxAuiManager@@IAEXAAVwxSizeEvent@@@Z",2,0,0.03,0.00,
"?PreProcessMessage@wxEventLoop@@UAE_NPAUtagMSG@@@Z",9,0,0.12,0.00,
"?Printf@wxString@@QAAHPBDZZ",4,0,0.05,0.00,
"?PrintfV@wxString@@QAEHPBDPAD@Z",7,0,0.09,0.00,
"?ProcessCommand@wxFrameBase@@QAE_NH@Z",8,0,0.11,0.00,
"?ProcessEvent@wxScrollHelperEvtHandler@@UAE_NAAVwxEvent@@@Z",1,0,0.01,0.00,
"?ProcessEventIfMatches@wxEvtHandler@@SA_NABUwxEventTableEntryBase@@PAV1@AAVwxEvent@@@Z","2,800",0,37.88,0.00,
"?ProcessIdle@wxAppBase@@UAE_NXZ",11,0,0.15,0.00,
"?ProcessMessage@wxEventLoop@@UAEXPAUtagMSG@@@Z",13,0,0.18,0.00,
"?ProcessMgrEvent@wxAuiManager@@IAEXAAVwxAuiManagerEvent@@@Z",6,0,0.08,0.00,
"?ProcessPendingEvents@wxAppConsole@@UAEXXZ","2,788",0,37.72,0.00,
"?ProcessPendingEvents@wxEvtHandler@@QAEXXZ","2,788",0,37.72,0.00,
