函数名,独占样本数,独占样本数百分比,指令地址,源行开始,源字符开始,源行结束,源字符结束,
"std::_Iterator_base12::_Orphan_me",5,0.07,0x01687BFC,197,0,197,0,
"std::_Iterator012<std::bidirectional_iterator_tag,wxString,int,wxString const *,wxString const &,std::_Iterator_base12>::~_Iterator012<std::bidirectional_iterator_tag,wxString,int,wxString const *,wxString const &,std::_Iterator_base12>",5,0.07,0x017802FD,0,0,0,0,
"std::_Iterator012<std::random_access_iterator_tag,char,int,char const *,char const &,std::_Iterator_base12>::~_Iterator012<std::random_access_iterator_tag,char,int,char const *,char const &,std::_Iterator_base12>",5,0.07,0x0169EB6D,0,0,0,0,
"std::_Node_class<char,std::regex_traits<char> >::_Tidy",5,0.07,0x017927ED,"1,766",0,"1,766",0,
"std::_Ptr_cat<unsigned int,unsigned int>",5,0.07,0x0168A191,444,0,444,0,
"std::_Ptr_cat<unsigned int,unsigned int>",5,0.07,0x0168A1AC,444,0,444,0,
"std::_Tree_alloc<0,std::_Tree_base_types<wxString,std::allocator<wxString> > >::_Getal",5,0.07,0x0178CD0D,868,0,868,0,
"std::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >,std::_Iterator_base12>::_Tree_unchecked_const_iterator<std::_Tree_val<std::_Tree_simple_types<AutoCompleteManager::Entry> >,std::_Iterator_base12>",5,0.07,0x01684AEB,44,0,44,0,
"std::_Tree_val<std::_Tree_simple_types<wxString> >::_Left",5,0.07,0x0178EBAC,588,0,588,0,
"std::_Tree_val<std::_Tree_simple_types<wxString> >::_Parent",5,0.07,0x01790EFC,593,0,593,0,
"std::_Tree<std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0> >::_Kfn",5,0.07,0x0168775A,"2,234",0,"2,234",0,
"std::_Tset_traits<AutoCompleteManager::Entry,std::less<AutoCompleteManager::Entry>,std::allocator<AutoCompleteManager::Entry>,0>::_Kfn",5,0.07,0x016877CE,34,0,34,0,
"std::_Vector_alloc<0,std::_Vec_base_types<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >::_Free_proxy",5,0.07,0x0178C8AD,630,0,630,0,
"std::_Vector_alloc<0,std::_Vec_base_types<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >::~_Vector_alloc<0,std::_Vec_base_types<std::_Tgt_state_t<char const *>::_Grp_t,std::allocator<std::_Tgt_state_t<char const *>::_Grp_t> > >",5,0.07,0x01780CCD,607,0,607,0,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >",5,0.07,0x0168B90D,0,0,0,0,
"std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > >",5,0.07,0x0168B98B,47,0,47,0,
